Id,Actors
11,"['1131202-mark_thompson', 'aaron_sorkin', 'andrew_steel', 'anna_deavere_smith', 'anne_haney', 'annette_bening', 'arthur_senzy', 'beans_morocco', 'beau_billingslea', 'bernie_mcinerney', 'clement_von_franckenstein', 'david_paymer', 'efrat_lavie', 'frank_cavestani', 'gail_strickland', 'george_murdock', 'googy_gress', 'john_mahon', 'john_mahoney', 'jordan_lund', 'joseph_latimore', 'joshua_malina', 'karen_maruyama', 'kathryn_ish', 'leslie_bega', 'martin_sheen', 'mathew_saks', 'maud_winchester', 'michael_douglas', 'michael_j_fox', 'narrated_by_richard_dreyfuss', 'nina_siemaszko', 'richard-stahl', 'rick_garcia', 'ron_canada', 'samantha_mathis', 'shawna_waldron', 'steve_gonzales', 'taylor_nichols', 'thom_barry', 'tom_dahlgren', 'wendie_malick']"
12,"['alan_walls', 'alton_ruff', 'amy_yasbeck', 'amy_yesbeck', 'anne_mcvey', 'audrey_baranishyn', 'avery_schreiber', 'barbaree_earl', 'ben_livingston', 'blane_savage', 'carol-arthur', 'casey_king', 'cherie_franklin', 'chuck_mccann', 'cindy_marshallday', 'clive_revill', 'darla_haun', 'david_deluise', 'david_savoy', 'delores_nemiro', 'dennon_rawles', 'derek_mark_lochran', 'elaine_ballace', 'ezio_greggio', 'gregg_binkley', 'grinnell_morris', 'harvey_korman', 'henry-kaiser', 'ira_miller', 'jeffrey_broadhurst', 'jennifer_crystal', 'jim_peace', 'jody_peterson', 'john_frayer', 'johnny_cocktails', 'jude_van_wormer', 'karen_roe', 'kathleen_kane', 'kevin_scott_crawford', 'leslie_nielsen', 'leslie_s_sachs', 'lisa_cordray', 'loraine_shields', 'lysette_anthony', 'manette_lachance', 'mark_blankfield', 'matthew_porretta', 'maud_winchester', 'maura_nielsen', 'megan_cavanagh', 'megan_cavanaugh', 'mel_brooks', 'michael_connors', 'nick_rempel', 'peter_macnicol', 'phillip_connery', 'ric_coy', 'richard_alan_stewart', 'robin_shepard', 'rudy_de_luca', 'sandra_rovetta', 'sandy_johnson', 'sharon_savoy', 'shirley_kirkes', 'sonje_fortag', 'stan_mazin', 'stephen_wolfe_smith', 'steven_weber', 'ted_sprague', 'thea_nielsen', 'tommy_koenig', 'tony_griffin', 'tricia_mcfarlin_mattson', 'vince_grant', 'zale_kessler']"
13,"['1075480-william_roberts', 'bill_bailey', 'bob_hoskins', 'brendan_fraser', 'bridget_fonda', 'christine_cavanaugh', 'danny_mann', 'donald_sinden', 'garick_hagon', 'jack_angel', 'jennifer_blanc', 'jim_carter', 'jim_cummings', 'juliette_brewer', 'kevin_bacon', 'lola_bates_campbell', 'michael_j_shannon', 'miriam_margolyes', 'phil_collins', 'robbie_rist', 'sandra_dickinson']"
14,"['1170066-kevin_dunn', 'annabeth_gish', 'anthony_hopkins', 'bai_ling', 'bill_bolender', 'bob_hoskins', 'boris_sichkin', 'brian_bedford', 'bridgette_wilson', 'charles_haugk', 'chuck_preiffer', 'clayton_townsend', 'corey_carrier', 'dan_hedaya', 'david-barry-gray', 'david_hyde_pierce', 'david_paymer', 'donna_dixon', 'drew_snyder', 'ed_harris', 'edward_herrmann', 'eg_marshall', 'fima_noveck', 'fyvush_finkel', 'george_plimpton', 'harry_murphy', 'howard_platt', 'jack_wallace', 'james_karen', 'james_pickens_jr', 'james_woods', 'joan_allen', 'joanna_going', 'john-bedford-lloyd', 'john_c_mcginley', 'john_cunningham', 'john_diehl', 'john_stockwell', 'jon_tenney', 'jt_walsh', 'julie-araskog', 'julie_condra', 'larry_hagman', 'lenny_vullo', 'madeline_kahn', 'marilyn-rockafellow', 'marley_shelton', 'mary_steenburgen', 'michael_chiklis', 'michaelherzllyodkaufman', 'oliver_stone', 'oneal_compton', 'paul_sorvino', 'power_booth', 'powers_boothe', 'ric_young', 'richard_fancy', 'robert_beltran', 'robert_marshall', 'ronald_von_klaussen', 'saul_rubinek', 'sean_stone', 'tom_bower', 'tony_goldwyn', 'tony_lo_bianco', 'tony_plana', 'victor_rivers', 'wilson_cruz']"
15,"['carl_chase', 'chris_johnston', 'christopher_adamson', 'christopher_kennedy_masterson', 'christopher_masterson', 'dickey_beer', 'frank_langella', 'geena_davis', 'george-murcell', 'harris_yulin', 'jimmie-f-skaggs', 'ken_bones', 'mary_peach', 'matthew_modine', 'maury_chaykin', 'patrick_malahide', 'paul_dillon', 'peter_geeves', 'rex_linn', 'roger_booth', 'rupert_vansittart', 'stan_shaw', 'tam_white', 'thomas_lockyer']"
16,"['1019197-john_bloom', 'alan_king', 'andy_jarrell', 'anthony-russell', 'audrey_meadows', 'bill_allison', 'bret_mccormick', 'brian-reddy', 'cameron_milzer', 'carl-ciarfalio', 'catherine_scorsese', 'clem_caserta', 'craig_vincent', 'daniel_p_conte', 'david-rose', 'david_varriale', 'dean_casper', 'dick_smothers', 'don_rickles', 'eric_randall', 'erika_vontagen', 'frank_adonis', 'frank_vincent', 'frankie_avalon', 'fred_smith', 'jack_orend', 'james_woods', 'jayne_meadows', 'jed_mills', 'jerry_vale', 'joe_la_due', 'joe_pesci', 'joey_de_pinto', 'john_manca', 'joseph_bono', 'joseph_p_reidy', 'kevin_pollak', 'linda_perri', 'lq_jones', 'max_raven', 'melissa-prophet', 'mitch_kolpan', 'oscar_goodman', 'pasquale_cajano', 'paul_herman', 'peter_conti', 'philip_suriano', 'richard_riehle', 'richard_wagner', 'robert_de_niro', 'ronald_maccone', 'roy_conrad', 'sasha_semenoff', 'sharon_stone', 'sly_smith', 'sonny_dangelo', 'steve_allen', 'steve_vignari', 'stuart_nisbet', 'toru_nagai', 'tyde_kierney', 'vinny_vella_sr']"
17,"['alan_rickman', 'alexander_john', 'elizabeth_spriggs', 'emile_francois', 'emilie_francois', 'emma_thompson', 'gemma_jones', 'greg_wise', 'harriet_walter', 'hugh_grant', 'hugh_laurie', 'imelda_staunton', 'imogen_stubbs', 'james_fleet', 'kate_winslet', 'oliver_ford_davies', 'richard_lumsden', 'robert_hardy', 'tom_wilkenson']"
18,"['1008881-marc_lawrence', 'alicia_witt', 'amanda_de_cadenet', 'antonio_banderas', 'bruce_willis', 'david_proval', 'ione_skye', 'jennifer_beals', 'kathy_griffin', 'lawrence_bender', 'lili_taylor', 'madonna', 'marisa_tomei', 'paul_calderon', 'paul_skemp', 'quentin_tarantino', 'salma_hayek', 'sammi-davis', 'tamlyn_tomita', 'tim_roth', 'valeria_golino']"
19,"['adewale_akinnouyeagbaje', 'andrew_steel', 'arsenio_sonny_trinidad', 'bob_gunton', 'bruce_spence', 'danny_d_daniels', 'dev_kennedy', 'ian_mcneice', 'jim_carrey', 'maynard-eziashi', 'michael_reid_mackay', 'patti_tippo', 'simon_callow', 'sophie_okonedo', 'tommy_davidson']"
20,"['aida_turturro', 'alvaleta_guess', 'angel-caban', 'bill_nunn', 'chris_cooper', 'christopher_anthony_young', 'david_tawil', 'greg_mckinney', 'jack-oconnell', 'jack_a_oconnell', 'jennifer_lopez', 'jeremy_roberts', 'joe_grifasi', 'john_cenatiempo', 'john_norman_thomas', 'jose_soto', 'jose_zuniga', 'michael_artura', 'mitch_kolpan', 'moss_porter', 'nelson_vasquez', 'oni_faida_lampley', 'richard-grove', 'robert_blake', 'ron_ryan', 'saul_stein', 'scott_sowers', 'sharon_schaffer', 'skipp_sudduth', 'steve_randazzo', 'thomas_g_waites', 'vincent-laresca', 'vincent_pastore', 'vincent_patrick', 'wesley_snipes', 'woody_harrelson']"
21,"['alex_rocco', 'alfred_dennis', 'barry_sonnenfeld', 'bernard-hocke', 'bette_midler', 'bobby-slayton', 'carlease_burke', 'danny_devito', 'david_groh', 'david_paymer', 'delroy_lindo', 'dennis_farina', 'gene_hackman', 'greg_goossen', 'harvey_keitel', 'jack_conley', 'jacob_vargas', 'james_gandolfini', 'jeffrey_j_stephan', 'john-cothran-jr', 'john_travolta', 'jon_gries', 'linda_hart', 'martin_ferrero', 'miguel_sandoval', 'patrick_breen', 'penny_marshall', 'ralph_manza', 'rebeca_arthur', 'rene_russo', 'renee_props', 'ron-karabatsos', 'vito_scotti', 'zach_phifer']"
22,"['anthony_moore', 'arlon_g_greene', 'bert_kinyon', 'bill-bonham', 'bob-greene', 'brian-russell', 'charles_branklyn', 'christopher_beale', 'corie_henninger', 'damon_lawner', 'danny_kovacs', 'david_ferguson', 'david_michael_silverman', 'dennis_richmond', 'dermot_mulroney', 'diane-amos', 'donald_west', 'doug_morrison', 'edith_bryson', 'eleva_singleton', 'floyd_gale_holland', 'gena_bingham', 'hansford_prince', 'harry_connick_jr', 'holly_hunter', 'james_cunningham', 'jay_jacobus', 'je_freeman', 'jeni_chua', 'john_charles_morris', 'john_rothman', 'johnetta_shearer', 'katherine_fitzhugh', 'kathleen_stefano', 'keith_phillips', 'kelly_de_martino', 'kelvin_han_yee', 'kenny_kwong', 'lee_kopp', 'nick_scoggin', 'rebecca_jane_klingler', 'richard_conti', 'rob_nilsson', 'robert_benscoter', 'ron_kaell', 'russ_christoff', 'scott_w_de_venney', 'shannon_ohurley', 'sigourney_weaver', 'sj_spinali', 'stephanie_ann_smith', 'stuart_w_yee', 'tahmus_rounds', 'terry_brown', 'thomas_j_fieweger', 'tony_haney', 'victor_talmadge', 'vincenetta_gunn', 'will_patton', 'william_mcnamara', 'william_oates']"
23,"['10004134-rain', 'adriana_altaras', 'anna_sawai', 'ben_miles', 'david_leitch', 'eleonore_weisgerber', 'guido_foehrweisser', 'hans_hohlbein', 'ill_young_kim', 'jens_neuhaus', 'johannes_ahn', 'jonathan_chanpensley', 'joon_lee', 'kai_fung_rieck', 'kylie_goldstein', 'kylie_liya_goldstein', 'linhdan_pham', 'matthias_schendel', 'mina_ghousi', 'naomie_harris', 'nhi_ngoc_nguyen_hermann', 'patrick_pinheiro', 'randall-duk-kim', 'richard_van_weyden', 'rick_yune', 'sho_kosugi', 'steffen_groth', 'stephen-marcus', 'sung_kang', 'thorston_manderlay', 'tim_williams', 'vladimir_tarasjanz', 'wolfgang_stegemann', 'yoon_sungwoong', 'yu_fang', 'yuki_iwamoto']"
24,"['alex_allen_morris', 'barry_berfield', 'bill_grant_minchen', 'bonnie_gallup', 'bradford_tatum', 'brady-coleman', 'brandon_smith', 'chad-cox', 'dannete_mcmann', 'dee_macaluso', 'esteban_powell', 'james_houston', 'jeff_goldblum', 'joe_marchman', 'lance_henriksen', 'mary_steenburgen', 'meason_wiley', 'missy_crider', 'paula_engel', 'philip_maurice_hayes', 'ray_wise', 'reed_frerichs', 'sean_patrick_flanery', 'susan_tyrrell', 'tom_tarantini', 'woody_watson']"
25,"['1001899-david_brisbin', '1009134-richard_lewis', 'albert_henderson', 'anne_lange', 'bill_thompson', 'bob_rafelson', 'carey_lowell', 'danny_huston', 'david_kriegel', 'ed_lauter', 'elisabeth_shue', 'french_stewart', 'gordon_michaels', 'graham_beckel', 'julian_lennon', 'julian_sands', 'kim_adams', 'laurie_metcalf', 'lou_rawls', 'lucinda_jenney', 'marc_coppola', 'mariska_hargitay', 'michael_goorjian', 'nicolas_cage', 'paul_quinn', 'r_lee_ermey', 'sergio_premoli', 'shawnee_smith', 'steven_weber', 'stuart_regen', 'susan_barnes', 'thomas_kopache', 'tracy_thorne', 'valeria_golino', 'vincent_ward', 'waldemar_kalinowski', 'xander_berkeley']"
26,"['andre_oumansky', 'anna_patrick', 'gabriele_ferzetti', 'indra_ove', 'irene_jacob', 'john_savident', 'kenneth_branagh', 'laurence_fishburne', 'michael_maloney', 'michael_sheen', 'nathaniel_parker', 'nicholas_farrell', 'oliver_parker', 'philip_locke', 'pierre_vaneck']"
27,"['alice_tew', 'ashleigh_aston_moore', 'beverly_shelton', 'bonnie_hunt', 'bradley_coryell', 'brandon_kleyla', 'brendan_fraser', 'carl_espy', 'christina_ricci', 'cloris_leachman', 'demi_moore', 'devon_sawa', 'gaby-hoffmann', 'geoff_mcknight', 'hank_azaria', 'james_paul_cleckler', 'jamison_b_dowd', 'janeane_garofalo', 'joey_stinson', 'justin_humphrey', 'kellen_crosby', 'lolita_davidovich', 'melanie_griffith', 'ric_reitz', 'rita_wilson', 'rosie_odonnell', 'thora_birch', 'travis_robertson', 'ts_morgan', 'tucker-stone', 'walter_sparrow', 'willa_glen']"
28,"['amanda_root', 'ciaran_hinds', 'corin_redgrave', 'darlene_johnson', 'david_collings', 'felicity-dean', 'fiona_shaw', 'jane_wood', 'john_woodvine', 'judy_cornwell', 'ken-shorter', 'lonnie_james', 'niall_refoy', 'phoebe_nicholls', 'roger_hammond', 'samuel_west', 'simon_russell_beale', 'sophie_thompson', 'susan_fleetwood']"
29,"['briac_barthelemy', 'cris_huerta', 'daniel-emifork', 'dominique_pinon', 'francois-hadjilazaro', 'genevieve_brunet', 'hamchau_luong', 'hong_mai_thomas', 'jeanclaude_dreyfus', 'jeanlouis_trintignant', 'joseph_lucien', 'judith-vittet', 'lorella_cravotta', 'mapi_galan', 'marc_caro', 'mireille_mosse', 'nane_germon', 'ron_perlman', 'rufus', 'serge_merlin', 'ticky-holgado']"
30,"['fu-biao', 'gong_li', 'jiang_baoying', 'li_baotian', 'li_xuejian', 'liu_jiang', 'shu_chen', 'sun-chun', 'wang_xiaoxiao', 'xuejian_li', 'yang_qianquan']"
31,"['1115190-wade_dominguez', 'al_israel', 'beatrice_winde', 'bernie_pock', 'bruklin-harris', 'courtney_b_vance', 'ebony-jerido', 'george_dzundza', 'irene_olga_lopez', 'ivan_sergei', 'john_neville', 'karina_arroyave', 'lorraine_toussaint', 'michelle_pfeiffer', 'paula_garces', 'renoly_santiago', 'richard_grant', 'robin_bartlett', 'roman_cisneros', 'sarah_marshall', 'skye_bassett']"
32,"['bhiravi_vaidhy', 'dilip_satgare', 'haresh_mehta', 'harish_panchal', 'kamlesh_shah', 'kishore_sachadev', 'nilesh_joshi', 'purvi_vyas', 'rajul_diwan', 'ram_milan', 'vikram_shah']"
33,"['_0028342', '_0423666', '_0767205', 'craig_sheffer', 'elizabeth_mcgovern', 'ken_pogue', 'molly_parker', 'tom_hulce', 'val_kilmer']"
34,"['1190965-john_doyle', 'charles_bartlett', 'christine_cavanaugh', 'courtland_mead', 'danny_mann', 'david-webb', 'doris_grau', 'helen_oconnor', 'hugo_weaving', 'jacqueline_brennan', 'james_cromwell', 'jane_alden', 'john_erwin', 'julie_forsyth', 'justin-monjo', 'kerry-walker', 'kimberly_bailey', 'maeve_germaine', 'magda_szubanski', 'marshall_napier', 'matthew_long', 'michael_edwardstevens', 'michelle_davison', 'miriam_flynn', 'miriam_margolyes', 'neil_ross', 'paige_pollack', 'patrika_darbo', 'paul_goddard', 'rosanna_huffman', 'roscoe_lee_browne', 'russi_taylor', 'russie_taylor', 'tina_lifford', 'tony_hughes']"
35,"['alex_kingston', 'christopher_birch', 'david_ryall', 'emma_thompson', 'janet_mcteer', 'jeremy_northam', 'jonathan_pryce', 'neville_phillips', 'penelope_wilton', 'peter-blythe', 'richard_clifford', 'rufus_sewell', 'samuel_west', 'steven_waddington']"
36,"['adam_nelson', 'adele_robbins', 'alec_gifford', 'amy_long', 'barton_heyman', 'celia-weston', 'clancy_brown', 'cortez_nance_jr', 'jack_black', 'kevin-cooney', 'larry_pine', 'lenore-banks', 'lois_smith', 'margo_martindale', 'michael_cullen', 'mike_longman', 'nesbitt_blaisdell', 'pamela_garmon', 'peter_sarsgaard', 'r_lee_ermey', 'ray-aranha', 'raymond_j_barry', 'robert_prosky', 'roberta_maxwell', 'sally_ann_roberts', 'scott_sowers', 'scott_wilson', 'sean_penn', 'steve_boles', 'steve_carlisle', 'susan_sarandon']"
37,"['abby_lewis', 'ali_hoffman', 'ave_hoffman', 'donald_trump', 'john_mcdonough', 'matt_malloy', 'pat_flynn', 'peter_boyden', 'peter_reznick', 'peter_reznik', 'philip_levy', 'victor_steinbach']"
38,"['ashley_olsen', 'desmond_robertson', 'ellen_ray_hennessey', 'ernie_grunwald', 'gerry_parkes', 'jane_sibbett', 'kirstie_alley', 'lawrence_z_dane', 'mary_kate', 'marykate_olsen', 'michelle_grisom', 'philip_bosco', 'steve_guttenberg']"
39,"['dorka_gryllus', 'lajos_kovacs']"
40,"['1006628-richard_harris', 'charles_dutton', 'charles_s_dutton', 'dambisa_kente', 'dolly_rathebe', 'eric_miyeni', 'greg_latter', 'ian-roberts', 'ian_robers', 'james_earl_jones', 'jsepo_gugusha', 'leleti-khumalo', 'leleti_kumalo', 'robert_whitehead', 'vusi_kunene']"
41,"['1073460-john_wood', 'adrian_dunbar', 'andy_rashleigh', 'annette_bening', 'bill_paterson', 'bruce_purchase', 'christopher_bowen', 'dennis_lili', 'dominic_west', 'donald_sumpter', 'edward-jewesbury', 'edward_hardwicke', 'ian_mckellen', 'jim_broadbent', 'jim_carter', 'kate_steavenson_payne', 'kristin_scott_thomas', 'maggie_smith', 'marc_williamson', 'matthew_groom', 'michael_elphick', 'nigel_hawthorne', 'robert_downey_jr', 'roger_hammond', 'ryan_gilmore', 'tim_mcinnerny', 'tres_hanley']"
42,"['1037887-robert_smith', 'alvaleta_guess', 'bernie_telsey', 'bokeem_woodbine', 'carlton_wilborn', 'charles_e_lesene', 'cheryl_freeman', 'chris_tucker', 'clifton_collins_jr', 'clifton_powell', 'cuc_dinh', 'daniel_kruse', 'david-barry-gray', 'elizabeth_rodriguez', 'frank_albanese', 'freddy_rodriguez', 'heather_b_gardner', 'isaiah_washington', 'jaimz_woolvett', 'james_pickens_jr', 'jean_claude_lamarre', 'jenifer_lewis', 'joelle_hernandez', 'jordan_hernandez', 'keith_david', 'larenz_tate', 'larry_mccoy', 'martin_sheen', 'michael_imperioli', 'monti_sharp', 'nbushe_wright', 'quynh_phann', 'rik_colitti', 'robert-lupone', 'rodney_winfield', 'rose_jackson', 'ryan_williams', 'seymour_cassel', 'sticky_fingaz', 'terrence_howard', 'tim_zay', 'tony_sirico', 'yen_chin_grow']"
43,"['david_thewlis', 'hugh_grant', 'ian_mckellen', 'meg_ryan', 'polly_walker', 'robert_downey_jr', 'sam_neill']"
44,"['bridgette_wilson', 'caryhiroyuki_tagawa', 'chris_casamassa', 'christopher_lambert', 'greg_mckinney', 'gregory_paul_martin', 'john_fujioka', 'kenneth_edwards', 'linden_ashby', 'lloyd_kino', 'peter_jason', 'robin_shou', 'sandy-helberg', 'steven_ho', 'talisa_soto', 'trevor_goddard']"
45,"['10001389-jonathan_sadowski', '1030366-kevin_smith', '1055355-chris_ellis', '1167982-mary_elizabeth_winstead', 'allen_maldonado', 'andrew_friedman', 'bruce_willis', 'chris_palermo', 'christina_chang', 'cliff_curtis', 'cyril_raffaelli', 'david_walrod', 'dennis_depew', 'diana_gettinger', 'edoardo_costa', 'edward_james_gage', 'ethan_flower', 'gerald_downey', 'howard_tyrone_ferguson', 'jake_mcdorman', 'jim_cantafio', 'joe_gerety', 'john_lacy', 'john_reha', 'justin_long', 'kurt_david_anderson', 'maggie_q', 'matt_oleary', 'melissa_knowles', 'nadine_ellis', 'nick_jaine', 'regina_mckee_redwing', 'rick_cramer', 'rosemary_knower', 'sung_kang', 'tim_de_zarn', 'tim_russ', 'timothy_olyphant', 'tony_colitti', 'vito_pietanza', 'yancey_arias', 'yorgo_constantine', 'zeljko_ivanek']"
46,"['1154768-david_williams', 'adam_baldwin', 'alfre_woodard', 'alicia_lecy_goranson', 'anne_bancroft', 'ari_meyers', 'brian_mcelroy', 'charles_parks', 'claire_danes', 'debra_stricklin', 'dermot_mulroney', 'derrick_oconnor', 'ellen_burstyn', 'esther_rolle', 'gail_strickland', 'holland_taylor', 'james_rebhorn', 'jane_alden', 'jared_leto', 'jean_simmons', 'joanna_going', 'johnathon_schaech', 'kaelynn_craddick', 'kate_capshaw', 'kate_nelligan', 'lois_smith', 'loren_dean', 'maria_celedonio', 'maya_angelou', 'melinda_dillon', 'mykelti_williamson', 'richard_jenkins', 'rip_torn', 'samantha_mathis', 'sara_craddick', 'tim_guinee', 'will_nipper', 'winona_ryder']"
47,"['atsushi_watanabe', 'bokuzen_hidari', 'daisuke_kato', 'eijiro_tono', 'fumiko_homma', 'gen_shimizu', 'haruo_nakajima', 'ichiro_chiba', 'isao_kimura', 'isao_yamagata', 'kamatari_fujiwara', 'keiji_sakakida', 'keiko-tsushima', 'kichijiro_ueda', 'ko', 'kuninori_kodo', 'minoru_chiaki', 'noriko-sengoku', 'seiji_miyaguchi', 'senkichi_omura', 'sojin_jr', 'takashi_shimura', 'toranosuke_ogawa', 'toshiro_mifune', 'yoshio_inaba', 'yoshio_kosugi', 'yoshio_tsuchiya']"
48,"['billy_connolly', 'christian_bale', 'danny_mann', 'david_ogden_stiers', 'frank_welker', 'gordon_tootoosis', 'irene_bedard', 'james_apaumut_fall', 'joe_baker', 'john_kassir', 'judy_kuhn', 'linda_hunt', 'mel_gibson', 'michelle_st_john', 'russell_means']"
49,"['clare-coulter', 'david-fox', 'don_mckellar', 'henry_czerny', 'jonathan_potts', 'pascale_bussieres', 'rachael_crawford', 'richard_w_farrell', 'sarah_steben', 'stuart_clow', 'tom_melissis', 'tracy-wright']"
50,"['1060389-peter_greene', 'benicio_del_toro', 'bert_williams', 'billy_bates', 'carl_bressler', 'castulo_guerra', 'chazz_palminteri', 'christine_estabrook', 'clark_gregg', 'dan_hedaya', 'david_powladge', 'frank_medrano', 'gabriel_byrne', 'gene-lythgow', 'giancarlo_esposito', 'jack_shearer', 'kevin_pollak', 'kevin_spacey', 'louis_lombardi', 'michelle_clunie', 'morgan_hunter', 'paul_bartel', 'pete_postlethwaite', 'phillip_simon', 'stephen_baldwin', 'suzy_amis', 'vito_dambrosio']"
